0,3634,4687,11588,11833,12361,6662,11462,516,9219,4774,1428,13138,2428,5940,1120,6364,5332,3597,11056,3028,12072,464,10908,13604,10530,7907,7518,11399,2090,463,1205,13339,6669,2561,3106,12773,3067,7393,4236,6062,1871,13531,5286,2941,9037,13177,11180,1987,2768,9510,10771
213,6406,8595,5762,2202,11286,10924,5444,3396,5440,9527,13348,13200,2190,6331,9026,5502,5085,10622,12526,9936,6796,2798,5538,8210,2298,6400,1694,9854,4538,11002,5075,10784,11303,5915,10126,12198,875,7603,1605,11873,7550,9923,11727,7280,10286,9463,3870,10478,2951,9815,5532
185,4017,2328,946,9373,9288,7142,1462,4622,10783,1718,13661,11033,12325,10499,1545,12095,12528,12666,191,2065,8212,7072,808,2159,9933,910,9501,518,1179,10091,13464,7085,7278,10430,4992,4628,6790,7554,174,10500,8091,317,974,12818,1804,8181,12068,201,3601,1794,1406
20,525,4867,11197,12399,11702,9451,1244,11400,13300,7309,8236,7115,465,13199,78,3732,7162,5719,9044,8697,5228,342,12650,1655,8643,6202,11461,12074,7643,11548,7640,7434,2592,7499,12109,11773,6365,6633,8463,6209,5369,246,12354,2392,5970,12043,5370,2077,8194,3189,8462
166,12865,7712,1362,1689,6500,7199,3277,1260,4252,13223,9788,135,1628,1988,4089,11589,3193,12510,4043,10470,2326,9032,9701,10911,3192,16,2457,13751,445,8546,6771,10060,1214,11704,3023,9878,3898,2758,1410,8819,10444,13143,4598,3098,11565,9821,4574,518,1854,7860,4091
73,6348,1152,5771,132,10164,3336,6659,10536,2815,8879,1069,6780,253,6654,7499,6274,10355,4026,3934,5894,6232,9071,5414,5244,10249,12046,2519,10251,9997,10516,4773,1073,3925,5962,7602,10093,458,12896,7376,3415,3059,12062,9512,12568,4314,9741,1216,5549,5878,5301,2397
118,5524,4440,4713,11807,626,10972,5941,7914,7426,4525,11455,4775,11788,5037,43,5041,6818,9586,12592,12973,11923,13428,7972,12198,12887,4934,7966,6929,2183,6007,7719,3512,5558,6429,7254,2421,4603,2373,7062,7243,13625,10256,9906,3348,4087,8030,1065,12120,11686,10134,7303
212,4404,7704,12088,10893,7575,8159,516,2628,2371,8271,5642,3025,3863,4198,8662,13269,7121,3152,11295,2359,5677,4400,10240,1194,13312,4524,7179,9543,8792,138,6192,10025,9194,10124,3659,4907,7868,11738,9850,6837,7832,9328,12365,2291,6687,12070,5481,9938,13280,9801,222
50,7499,8491,54,2021,9003,7816,8612,10742,2884,5824,5336,10451,1598,1498,4969,9153,13672,11915,3617,5603,696,1992,3069,6300,12715,2636,306,7723,9263,3897,12744,11450,8828,4380,10289,10288,8226,2143,9790,12477,5442,1098,7099,12292,7816,6860,7294,109,10658,2908,12730
155,8784,7852,7487,12488,6217,8825,7970,12936,6479,2277,8011,3403,4165,9179,2367,10065,9926,1763,12336,9946,6944,8498,4451,4936,8826,1212,3822,3748,9782,11217,10605,3776,7500,6609,12214,9907,13111,13731,13061,6502,7052,5387,6597,10186,12039,9880,12580,7129,1920,11563,13018
25,379,13400,8334,7802,3947,7127,7846,4039,2536,13543,7093,6454,6714,225,10139,12167,2640,6322,686,11362,10522,10313,12232,13203,4324,6733,5138,11513,12333,10475,745,10642,3230,7595,2271,8141,13447,12101,9801,10276,220,1579,7588,1156,2812,7419,6329,1393,3901,5055,5034
88,8323,266,9622,11299,12760,9345,3603,12230,4509,10854,2189,2281,8734,7977,1695,8901,7953,4519,10101,1705,12126,445,10258,7165,4927,6924,6761,6543,7781,5298,4652,6924,8634,7531,7319,1708,12920,10073,11522,12261,4837,4294,12048,582,11295,3985,4511,7267,188,12815,1346
163,276,7922,6396,13206,1552,9317,12509,4673,9276,5096,10090,5782,5266,12456,2265,5566,13172,7777,13360,1700,8110,2289,13743,13223,12996,65,4613,7773,5946,511,6690,4112,10790,8370,11019,7544,2527,5372,12104,9449,3639,5012,10191,7652,7485,7865,7940,1382,4557,11649,11769
131,5813,3613,13202,9233,4401,2261,11441,10800,2490,2681,4883,5922,7527,2784,7686,10255,2508,890,1260,3670,13117,541,12036,11487,5984,9094,3736,1511,818,11921,3896,3118,2710,4949,5808,2576,11366,9223,2137,13507,7502,3813,1175,9436,4490,11763,6942,4000,11224,11983,6822
222,9919,6007,9919,13444,7345,3733,8060,11860,9987,2935,5779,7102,1733,6252,9276,9172,2845,8149,10283,7900,266,5245,8538,2933,12172,12748,2365,3991,6980,1949,4970,6258,3309,13430,9656,8305,3408,12599,12157,12604,7850,8616,8493,5019,1705,9367,12580,5457,12447,7794,154
