38,1201
176,338
117,578
105,612
112,1724
171,3169
82,5392
72,10268
124,11556
18,3327
30,2141
4,10704
140,2925
44,8009
97,8708
228,4445
79,6179
12,3001
46,12099
26,1783
114,11444
240,263
20,7742
64,1885
74,1319
37,12791
75,2147
23,974
44,2306
20,332
239,7471
207,9988
231,9109
91,9454
205,12830
202,2283
84,5853
153,6534
108,7757
117,12317
6,1217
93,1950
26,4755
134,6707
78,8202
18,12261
150,3374
6,7373
78,3199
17,24
232,4580
41,1431
43,11292
133,6124
20,13324
15,11565
113,11165
166,3488
222,8248
214,2206
162,889
8,9111
80,2484
201,10720
80,9231
69,253
25,334
54,13653
113,1336
236,8249
241,473
200,9629
223,2070
148,12514
17,11807
22,105
6,7172
1,2260
46,3178
40,11803
181,6974
113,6047
195,4706
105,5226
151,7146
94,8777
37,11832
219,2253
230,11664
189,3912
72,12286
216,8186
51,3489
0,9196
6,2185
75,1337
218,4692
167,10659
40,566
84,5
38,11508
86,4291
191,12603
221,7429
159,11081
33,1381
105,8719
167,5692
114,11618
32,724
86,8313
78,2649
175,4958
54,88
36,11883
164,3123
84,1069
18,11655
49,365
85,5172
149,8396
26,5597
8,1121
107,3902
205,66
113,5911
39,8960
44,3815
118,2627
89,6016
149,10892
38,3019
45,3924
243,7944
159,8926
12,5377
10,8455
50,1115
14,950
23,867
14,1062
163,3109
187,9752
34,61
68,1088
36,5774
105,8512
40,3128
86,628
129,5595
14,7619
98,2878
48,6134
42,12444
134,2703
163,229
171,8439
21,1192
116,6769
97,651
189,2616
100,4793
62,4069
39,7365
57,7144
8,10536
34,7069
40,368
14,1735
168,867
25,9865
60,3161
64,11492
45,12717
71,11290
15,12382
98,12619
141,7987
36,364
130,1345
134,345
36,9012
203,1264
145,4565
37,8451
6,813
37,673
205,10623
237,5715
29,6840
0,2750
127,5289
181,9291
225,1154
191,2192
127,12869
146,7871
155,7480
80,163
136,1492
122,12343
71,5718
37,6660
7,6479
155,12825
55,343
28,7005
47,7824
75,9233
130,4548
17,2332
36,10218
75,8364
146,10220
108,6823
116,3260
24,10464
129,570
39,13453
242,9479
19,4059
174,1260
32,6825
108,2674
31,10313
88,3716
148,4454
173,11404
2,5
22,3357
29,1813
1,4511
0,2058
62,5987
89,2202
47,140
192,13076
74,11129
46,6404
29,9446
46,4751
199,7382
135,7028
152,10028
26,12360
114,3019
117,10841
40,8129
83,10453
45,3749
97,10511
7,1166
43,2066
225,2883
234,122
80,5289
15,4987
193,1644
15,1541
114,2210
7,7372
220,4212
80,90
36,5394
146,1284
6,12391
186,10022
46,6805
46,1821
110,9785
113,13194
102,7650
150,10262
63,1039
7,10207
49,305
47,1593
78,1340
30,1287
46,3895
28,724
119,2918
184,2173
71,76
176,12473
78,5969
85,3704
74,3548
17,3803
31,10140
36,8379
45,236
33,5127
115,3419
82,995
19,322
222,717
148,1345
168,8012
46,3593
49,3002
8,5480
